name,tid,position,age,is_gk,snap_CA,snap_PA,rec_CA,rec_PA,foot_L,foot_R,attr:Aerial,attr:Agility,attr:Communication,attr:Handling,attr:Kicking,attr:Throwing,attr:Reflexes,attr:Crossing,attr:Dribbling,attr:Passing,attr:Shooting,attr:Tackling,attr:Technique,attr:Aggression,attr:Creativity,attr:Decisions,attr:Leadership,attr:Movement,attr:Positioning,attr:Teamwork,attr:Pace,attr:Stamina,attr:Strength,-55|?,-54|?,-53|?,-52|?,-51|?,-50|?Adaptability,-49|?Ambition,-48|?Determination,-47|?Loyalty,-46|?PressureHandling,-45|?Professionalism,-44|?Sportsmanship,-43|?Temperament,-42|SID,-41|SID,-40|SID,-39|SID,-38|?,-37|?,-36|?,-35|?,-34|?Crossing,-33|?Dribbling,-32|?Tackling,-31|?Shooting.Finishing,-30|?Shooting.LongShots,-29|?Aerial.Heading,-28|?Aerial.Jumping,-27|?Passing,-26|?Decisions,-25|=Teamwork.Unselfish,-24|Pace,-23|Strength,-22|Stamina,-21|Technique,-20|?Consistency,-19|Aggression,-18|?BigMatches,-17|?InjuryProneness,-16|Leadership,-15|?Versatility,-14|?SetPieces,-13|?Penalties,-12|?Creativity,-11|?Movement,-10|?Positioning,-9|=Teamwork.WorkRate,-8|?Flair,-7|?Handling,-6|?Kicking,-5|Agility,-4|?AerialGK,-3|?Reflexes,-2|?Communication,-1|?Throwing,0|pos:GK,1|pos:SW,2|pos:DL,3|pos:DC,4|pos:DR,5|pos:DMC,6|pos:ML,7|pos:MC,8|pos:MR,9|pos:AML,10|pos:AMC,11|pos:AMR,12|pos:ST,13|pos:DML,14|pos:DMR,15|footL,16|footR,17|CAlo,18|CAhi,19|PAlo,20|PAhi,21|replo,22|rephi
Berke Bıyık,21425,AML,27,0,90,95,90,95,10,20,4,13,1,2,1,1,1,12,15,8,10,5,12,10,11,12,7,13,5,8,13,11,8,109,6,127,3,0,16,136,63,0,179,0,74,0,233,60,0,0,93,17,3,0,9,39,211,253,9,4,4,238,1,6,13,8,11,12,13,10,6,6,7,12,7,6,18,17,213,10,12,191,171,13,161,181,171,161,1,1,1,1,1,1,1,1,1,20,1,15,12,1,1,10,20,90,0,95,0,3,15
Yalçın Kaya,21469,DC,24,0,80,83,80,83,8,20,14,12,1,2,2,1,3,4,4,5,4,14,5,9,4,16,12,5,12,5,12,4,11,189,18,79,10,0,8,200,51,0,190,0,80,0,20,61,0,0,115,19,3,0,206,207,37,207,164,11,15,214,57,5,12,11,4,5,20,9,3,8,13,19,1,1,208,214,28,6,5,194,184,12,174,204,184,174,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,8,20,80,0,83,0,2,13
Mustafa Seyhan,21650,DMC,26,0,85,95,85,95,10,20,9,11,1,1,2,2,1,7,7,9,7,10,10,12,7,10,7,8,13,11,10,11,11,194,16,89,9,0,22,136,48,0,180,0,75,0,137,61,0,0,110,24,3,0,234,237,9,224,246,9,9,1,246,11,10,11,11,10,10,12,12,14,7,10,7,6,237,244,19,12,6,184,184,11,174,164,164,184,1,1,1,1,1,20,1,16,1,1,10,1,1,1,1,10,20,85,0,95,0,101,14
Alper Duruk,21782,DR,24,0,85,87,85,87,10,20,7,10,1,1,1,2,1,8,8,8,6,9,11,10,7,11,7,7,13,11,12,11,9,158,24,208,14,0,224,137,14,0,191,0,79,0,210,61,0,0,221,26,3,0,246,248,250,214,222,7,7,244,253,11,12,9,11,11,11,10,9,8,7,10,7,8,230,231,14,11,8,184,164,10,174,174,184,184,1,1,1,1,20,1,1,1,1,1,1,1,1,1,13,10,20,85,0,87,0,168,13
Yusuf Yıldırım,21809,AML,23,0,85,86,85,86,15,20,7,11,1,1,2,1,1,12,12,9,8,4,12,9,9,11,8,12,5,10,11,10,10,152,18,46,10,0,16,136,4,0,192,0,88,0,230,61,0,0,154,27,3,0,5,13,209,244,245,7,7,0,251,11,11,11,11,12,13,9,11,10,8,12,8,4,252,5,218,10,13,184,184,11,164,164,164,164,1,1,1,1,1,1,15,1,15,20,1,15,1,1,1,15,20,85,0,86,0,165,14
Saruhan Fındıkcı,21905,MC,25,0,85,100,85,100,20,11,7,11,1,1,1,1,1,9,12,11,10,6,11,9,8,11,7,13,7,10,10,11,10,49,12,166,4,0,0,200,20,0,180,0,73,0,47,62,0,0,69,30,3,0,253,5,221,253,21,7,7,252,0,11,10,10,11,11,9,9,4,9,8,10,9,7,248,17,238,10,12,164,164,11,174,174,174,164,1,1,1,1,1,1,10,20,10,12,18,12,1,1,1,20,11,85,0,100,0,195,13
Recep Gül,21919,AMR,22,0,90,118,90,118,20,7,7,11,1,1,2,2,1,12,13,11,11,5,12,10,12,11,10,11,5,12,10,8,7,121,16,169,7,0,16,136,67,0,169,0,59,0,61,62,0,0,186,30,3,0,23,40,207,16,10,7,6,19,12,13,10,7,8,12,8,10,10,8,10,12,10,7,20,11,206,12,12,166,176,11,176,176,196,176,1,1,1,1,1,1,12,10,12,17,12,20,1,1,1,20,7,90,0,118,0,205,17
Ahmet Sun,21940,AML,24,0,100,107,100,107,15,20,8,11,1,1,3,3,1,10,12,13,7,6,11,7,10,12,9,16,6,9,12,12,4,234,12,23,5,0,0,168,23,0,192,0,81,0,80,62,0,0,74,31,3,0,254,22,213,218,224,5,9,31,20,7,12,4,12,11,11,7,6,13,9,15,6,4,255,62,215,12,12,184,184,11,174,164,164,184,1,1,1,1,1,1,18,1,15,20,1,15,1,1,1,15,20,100,0,107,0,227,17
Enes Alıç,22012,AML,23,0,85,85,85,85,20,9,8,11,1,1,2,1,1,11,11,8,8,8,10,10,9,9,6,12,8,11,12,11,9,252,25,15,19,0,224,137,30,0,195,0,88,0,140,62,0,0,85,33,3,0,254,254,244,244,244,8,7,246,234,11,13,11,11,10,11,10,7,6,6,13,7,9,252,7,244,12,9,174,184,11,184,174,164,174,1,1,13,1,1,1,15,1,13,20,1,14,1,14,1,20,9,85,0,85,0,204,11
Cuma Menize,22124,MC,22,0,85,94,85,94,8,20,6,12,1,1,2,3,1,5,14,12,10,7,14,10,10,9,5,11,6,11,13,11,10,72,17,42,10,0,4,184,8,0,179,0,72,0,192,62,0,0,10,35,3,0,214,27,234,17,224,5,6,7,234,10,13,10,11,14,9,10,17,12,5,12,8,7,7,252,224,12,10,174,184,12,184,174,164,194,1,1,1,1,1,1,1,20,1,10,19,10,1,1,1,8,20,85,0,94,0,49,16
Sabahattin Destici,22237,MC,22,0,55,55,55,55,8,20,7,12,1,1,1,1,2,5,5,12,4,8,9,15,8,11,3,9,9,8,12,9,6,109,9,133,3,0,6,152,36,0,163,0,56,0,17,63,0,0,85,37,3,0,231,229,0,207,243,7,7,19,16,8,12,6,9,9,10,15,8,11,3,12,7,4,7,248,253,9,5,179,189,12,199,189,199,179,1,1,1,1,15,1,1,20,16,1,1,1,1,1,1,8,20,55,0,55,0,135,9
Ercan Şirin,22907,DC,22,0,85,102,85,102,8,20,14,9,1,1,1,1,1,6,4,5,6,13,5,12,4,13,10,7,11,7,7,6,11,41,19,213,11,0,20,232,33,0,186,0,78,0,45,64,0,0,66,44,3,0,219,206,39,209,229,14,14,209,40,7,7,11,7,5,15,12,2,5,10,15,1,4,206,229,22,8,5,169,169,9,189,169,189,169,1,1,1,20,12,1,1,1,1,1,1,1,1,1,1,8,20,85,0,102,0,52,14
Melih Ataş,30700,GK,20,1,68,99,68,99,10,20,13,13,2,13,10,7,12,1,3,8,2,1,9,12,3,7,4,3,2,4,5,3,5,125,12,168,5,0,6,152,32,0,176,0,68,0,22,90,0,0,222,2,4,0,186,216,186,186,206,5,15,0,226,4,5,5,3,9,10,12,1,13,4,8,5,3,206,206,196,4,3,42,0,13,40,40,14,240,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,20,68,0,99,0,163,9
Turan Demirci,30737,MR,20,0,65,91,65,81,7,20,5,10,1,2,2,2,1,8,11,10,5,7,9,10,7,12,9,11,4,7,13,7,5,216,9,200,2,0,3,152,34,0,185,0,67,0,58,90,0,0,149,3,4,0,250,2,240,233,190,1,6,254,31,7,13,5,7,9,9,10,3,12,9,16,6,6,244,8,217,8,11,201,191,10,191,181,181,191,1,1,1,1,15,1,1,1,20,1,1,16,1,1,1,7,20,65,0,81,0,207,10
Emre Erdem,30975,DC,20,0,55,88,50,81,7,20,10,8,1,2,2,1,2,1,1,4,2,10,1,10,3,11,3,1,11,5,5,5,5,95,10,241,1,0,224,137,31,0,188,0,69,0,18,91,0,0,119,6,4,0,206,206,18,206,219,13,9,219,39,5,5,6,6,1,10,10,9,12,3,10,1,3,209,206,35,5,5,189,199,8,189,199,189,189,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,7,20,50,0,81,0,20,9
Ege Okka,30976,MC,18,0,55,64,55,64,7,20,3,10,1,2,2,2,2,3,3,10,6,5,10,8,12,14,9,10,7,9,11,10,5,28,9,197,1,0,16,168,34,0,188,0,69,0,19,91,0,0,123,6,4,0,206,213,226,226,10,5,2,254,60,7,11,5,10,10,8,8,9,8,9,19,5,1,53,4,234,12,5,196,196,10,206,196,196,196,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,7,20,55,0,64,0,6,5
Berkay Ertürk,22961,AMR,20,0,40,60,55,60,15,20,9,8,1,2,1,1,3,11,9,7,3,2,10,6,7,7,11,10,2,9,7,7,4,168,9,87,3,0,3,152,7,0,186,0,73,0,74,64,0,0,224,44,3,0,29,15,214,219,235,5,10,5,234,7,7,5,8,10,16,6,10,5,11,8,5,5,0,22,210,12,9,196,186,8,196,206,206,196,1,1,1,1,1,1,1,1,18,1,1,20,1,1,1,15,20,55,0,60,0,48,9
Efe Doğan,33913,GK,18,1,40,77,55,77,7,20,11,9,2,11,8,5,11,1,3,1,3,1,3,7,3,11,1,1,4,3,8,1,3,108,7,169,0,0,16,136,38,0,175,0,60,0,72,101,0,0,27,29,4,0,186,206,186,206,186,2,12,196,40,4,9,5,3,3,10,7,6,12,1,7,5,3,206,186,229,3,3,56,242,9,40,50,226,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,20,55,0,77,0,36,3
