name,position,is_gk,ca,attribute,actual,estimated,delta
Berke Bıyık,AML,0,90,Movement,13,12,-1
Berke Bıyık,AML,0,90,Positioning,5,5,0
Yalçın Kaya,DC,0,80,Pace,12,12,0
Yalçın Kaya,DC,0,80,Strength,11,11,0
Yalçın Kaya,DC,0,80,Stamina,4,4,0
Yalçın Kaya,DC,0,80,Technique,5,5,0
Yalçın Kaya,DC,0,80,Aggression,9,9,0
Yalçın Kaya,DC,0,80,Leadership,12,13,0
Yalçın Kaya,DC,0,80,Agility,12,12,0
Yalçın Kaya,DC,0,80,Teamwork,5,5,0
Yalçın Kaya,DC,0,80,Crossing,4,4,0
Yalçın Kaya,DC,0,80,Dribbling,4,4,0
Yalçın Kaya,DC,0,80,Tackling,14,14,0
Yalçın Kaya,DC,0,80,Shooting,4,4,0
Yalçın Kaya,DC,0,80,Aerial,14,14,0
Yalçın Kaya,DC,0,80,Passing,5,5,0
Yalçın Kaya,DC,0,80,Decisions,16,16,0
Yalçın Kaya,DC,0,80,Creativity,4,4,0
Yalçın Kaya,DC,0,80,Movement,5,5,0
Yalçın Kaya,DC,0,80,Positioning,12,13,1
Mustafa Seyhan,DMC,0,85,Pace,10,10,0
Mustafa Seyhan,DMC,0,85,Strength,11,11,0
Mustafa Seyhan,DMC,0,85,Stamina,11,11,0
Mustafa Seyhan,DMC,0,85,Technique,10,10,0
Mustafa Seyhan,DMC,0,85,Aggression,12,12,0
Mustafa Seyhan,DMC,0,85,Leadership,7,7,0
Mustafa Seyhan,DMC,0,85,Agility,11,11,0
Mustafa Seyhan,DMC,0,85,Teamwork,11,11,0
Mustafa Seyhan,DMC,0,85,Crossing,7,7,0
Mustafa Seyhan,DMC,0,85,Dribbling,7,8,1
Mustafa Seyhan,DMC,0,85,Tackling,10,11,1
Mustafa Seyhan,DMC,0,85,Shooting,7,7,0
Mustafa Seyhan,DMC,0,85,Aerial,9,9,0
Mustafa Seyhan,DMC,0,85,Passing,9,10,1
Mustafa Seyhan,DMC,0,85,Decisions,10,10,0
Mustafa Seyhan,DMC,0,85,Creativity,7,7,0
Mustafa Seyhan,DMC,0,85,Movement,8,8,0
Mustafa Seyhan,DMC,0,85,Positioning,13,12,-1
Alper Duruk,DR,0,85,Pace,12,12,0
Alper Duruk,DR,0,85,Strength,9,9,0
Alper Duruk,DR,0,85,Stamina,11,11,0
Alper Duruk,DR,0,85,Technique,11,11,0
Alper Duruk,DR,0,85,Aggression,10,10,0
Alper Duruk,DR,0,85,Leadership,7,7,0
Alper Duruk,DR,0,85,Agility,10,10,0
Alper Duruk,DR,0,85,Teamwork,11,11,0
Alper Duruk,DR,0,85,Crossing,8,9,1
Alper Duruk,DR,0,85,Dribbling,8,9,1
Alper Duruk,DR,0,85,Tackling,9,9,0
Alper Duruk,DR,0,85,Shooting,6,6,0
Alper Duruk,DR,0,85,Aerial,7,7,0
Alper Duruk,DR,0,85,Passing,8,8,0
Alper Duruk,DR,0,85,Decisions,11,11,0
Alper Duruk,DR,0,85,Creativity,7,6,-1
Alper Duruk,DR,0,85,Movement,7,7,0
Alper Duruk,DR,0,85,Positioning,13,11,-2
Yusuf Yıldırım,AML,0,85,Pace,11,11,0
Yusuf Yıldırım,AML,0,85,Strength,10,11,0
Yusuf Yıldırım,AML,0,85,Stamina,10,11,0
Yusuf Yıldırım,AML,0,85,Technique,12,12,0
Yusuf Yıldırım,AML,0,85,Aggression,9,9,0
Yusuf Yıldırım,AML,0,85,Leadership,8,8,0
Yusuf Yıldırım,AML,0,85,Agility,11,11,0
Yusuf Yıldırım,AML,0,85,Teamwork,10,10,0
Yusuf Yıldırım,AML,0,85,Crossing,12,10,-2
Yusuf Yıldırım,AML,0,85,Dribbling,12,11,-1
Yusuf Yıldırım,AML,0,85,Tackling,4,4,0
Yusuf Yıldırım,AML,0,85,Shooting,8,8,0
Yusuf Yıldırım,AML,0,85,Aerial,7,7,0
Yusuf Yıldırım,AML,0,85,Passing,9,10,1
Yusuf Yıldırım,AML,0,85,Decisions,11,11,0
Yusuf Yıldırım,AML,0,85,Creativity,9,9,0
Yusuf Yıldırım,AML,0,85,Movement,12,10,-2
Yusuf Yıldırım,AML,0,85,Positioning,5,5,0
Saruhan Fındıkcı,MC,0,85,Pace,10,10,0
Saruhan Fındıkcı,MC,0,85,Strength,10,10,0
Saruhan Fındıkcı,MC,0,85,Stamina,11,11,0
Saruhan Fındıkcı,MC,0,85,Technique,11,11,0
Saruhan Fındıkcı,MC,0,85,Aggression,9,9,0
Saruhan Fındıkcı,MC,0,85,Leadership,7,8,0
Saruhan Fındıkcı,MC,0,85,Agility,11,11,0
Saruhan Fındıkcı,MC,0,85,Teamwork,10,10,0
Saruhan Fındıkcı,MC,0,85,Crossing,9,9,0
Saruhan Fındıkcı,MC,0,85,Dribbling,12,10,-2
Saruhan Fındıkcı,MC,0,85,Tackling,6,6,0
Saruhan Fındıkcı,MC,0,85,Shooting,10,10,0
Saruhan Fındıkcı,MC,0,85,Aerial,7,7,0
Saruhan Fındıkcı,MC,0,85,Passing,11,9,-2
Saruhan Fındıkcı,MC,0,85,Decisions,11,11,0
Saruhan Fındıkcı,MC,0,85,Creativity,8,8,0
Saruhan Fındıkcı,MC,0,85,Movement,13,12,-1
Saruhan Fındıkcı,MC,0,85,Positioning,7,8,1
Recep Gül,AMR,0,90,Pace,10,10,0
Recep Gül,AMR,0,90,Strength,7,7,0
Recep Gül,AMR,0,90,Stamina,8,8,0
Recep Gül,AMR,0,90,Technique,12,12,0
Recep Gül,AMR,0,90,Aggression,10,10,0
Recep Gül,AMR,0,90,Leadership,10,10,0
Recep Gül,AMR,0,90,Agility,11,11,0
Recep Gül,AMR,0,90,Teamwork,12,12,0
Recep Gül,AMR,0,90,Crossing,12,13,1
Recep Gül,AMR,0,90,Dribbling,13,14,1
Recep Gül,AMR,0,90,Tackling,5,4,-1
Recep Gül,AMR,0,90,Shooting,11,12,1
Recep Gül,AMR,0,90,Aerial,7,6,-1
Recep Gül,AMR,0,90,Passing,11,12,1
Recep Gül,AMR,0,90,Decisions,11,11,0
Recep Gül,AMR,0,90,Creativity,12,12,0
Recep Gül,AMR,0,90,Movement,11,11,0
Recep Gül,AMR,0,90,Positioning,5,5,0
Ahmet Sun,AML,0,100,Pace,12,12,0
Ahmet Sun,AML,0,100,Strength,4,4,0
Ahmet Sun,AML,0,100,Stamina,12,12,0
Ahmet Sun,AML,0,100,Technique,11,11,0
Ahmet Sun,AML,0,100,Aggression,7,7,0
Ahmet Sun,AML,0,100,Leadership,9,9,0
Ahmet Sun,AML,0,100,Agility,11,11,0
Ahmet Sun,AML,0,100,Teamwork,9,9,0
Ahmet Sun,AML,0,100,Crossing,10,11,1
Ahmet Sun,AML,0,100,Dribbling,12,13,1
Ahmet Sun,AML,0,100,Tackling,6,6,0
Ahmet Sun,AML,0,100,Shooting,7,7,0
Ahmet Sun,AML,0,100,Aerial,8,9,1
Ahmet Sun,AML,0,100,Passing,13,13,0
Ahmet Sun,AML,0,100,Decisions,12,13,1
Ahmet Sun,AML,0,100,Creativity,10,10,0
Ahmet Sun,AML,0,100,Movement,16,17,1
Ahmet Sun,AML,0,100,Positioning,6,6,0
Enes Alıç,AML,0,85,Pace,12,13,0
Enes Alıç,AML,0,85,Strength,9,11,0
Enes Alıç,AML,0,85,Stamina,11,11,0
Enes Alıç,AML,0,85,Technique,10,10,0
Enes Alıç,AML,0,85,Aggression,10,10,0
Enes Alıç,AML,0,85,Leadership,6,6,0
Enes Alıç,AML,0,85,Agility,11,11,0
Enes Alıç,AML,0,85,Teamwork,11,11,0
Enes Alıç,AML,0,85,Crossing,11,10,-1
Enes Alıç,AML,0,85,Dribbling,11,10,-1
Enes Alıç,AML,0,85,Tackling,8,8,0
Enes Alıç,AML,0,85,Shooting,8,8,0
Enes Alıç,AML,0,85,Aerial,8,7,-1
Enes Alıç,AML,0,85,Passing,8,8,0
Enes Alıç,AML,0,85,Decisions,9,9,0
Enes Alıç,AML,0,85,Creativity,9,9,0
Enes Alıç,AML,0,85,Movement,12,11,-1
Enes Alıç,AML,0,85,Positioning,8,8,0
Cuma Menize,MC,0,85,Pace,13,13,0
Cuma Menize,MC,0,85,Strength,10,10,0
Cuma Menize,MC,0,85,Stamina,11,11,0
Cuma Menize,MC,0,85,Technique,14,14,0
Cuma Menize,MC,0,85,Aggression,10,10,0
Cuma Menize,MC,0,85,Leadership,5,5,0
Cuma Menize,MC,0,85,Agility,12,12,0
Cuma Menize,MC,0,85,Teamwork,11,11,0
Cuma Menize,MC,0,85,Crossing,5,5,0
Cuma Menize,MC,0,85,Dribbling,14,13,-1
Cuma Menize,MC,0,85,Tackling,7,7,0
Cuma Menize,MC,0,85,Shooting,10,10,0
Cuma Menize,MC,0,85,Aerial,6,6,0
Cuma Menize,MC,0,85,Passing,12,10,-2
Cuma Menize,MC,0,85,Decisions,9,9,0
Cuma Menize,MC,0,85,Creativity,10,10,0
Cuma Menize,MC,0,85,Movement,11,9,-2
Cuma Menize,MC,0,85,Positioning,6,6,0
Sabahattin Destici,MC,0,55,Pace,12,12,0
Sabahattin Destici,MC,0,55,Strength,6,6,0
Sabahattin Destici,MC,0,55,Stamina,9,9,0
Sabahattin Destici,MC,0,55,Technique,9,9,0
Sabahattin Destici,MC,0,55,Aggression,15,15,0
Sabahattin Destici,MC,0,55,Leadership,3,3,0
Sabahattin Destici,MC,0,55,Agility,12,12,0
Sabahattin Destici,MC,0,55,Teamwork,8,8,0
Sabahattin Destici,MC,0,55,Crossing,5,5,0
Sabahattin Destici,MC,0,55,Dribbling,5,5,0
Sabahattin Destici,MC,0,55,Tackling,8,8,0
Sabahattin Destici,MC,0,55,Shooting,4,4,0
Sabahattin Destici,MC,0,55,Aerial,7,7,0
Sabahattin Destici,MC,0,55,Passing,12,11,-1
Sabahattin Destici,MC,0,55,Decisions,11,11,0
Sabahattin Destici,MC,0,55,Creativity,8,8,0
Sabahattin Destici,MC,0,55,Movement,9,9,0
Sabahattin Destici,MC,0,55,Positioning,9,8,-1
Ercan Şirin,DC,0,85,Pace,7,7,0
Ercan Şirin,DC,0,85,Strength,11,11,0
Ercan Şirin,DC,0,85,Stamina,6,7,0
Ercan Şirin,DC,0,85,Technique,5,5,0
Ercan Şirin,DC,0,85,Aggression,12,12,0
Ercan Şirin,DC,0,85,Leadership,10,10,0
Ercan Şirin,DC,0,85,Agility,9,9,0
Ercan Şirin,DC,0,85,Teamwork,7,7,0
Ercan Şirin,DC,0,85,Crossing,6,6,0
Ercan Şirin,DC,0,85,Dribbling,4,4,0
Ercan Şirin,DC,0,85,Tackling,13,14,1
Ercan Şirin,DC,0,85,Shooting,6,6,0
Ercan Şirin,DC,0,85,Aerial,14,14,0
Ercan Şirin,DC,0,85,Passing,5,5,0
Ercan Şirin,DC,0,85,Decisions,13,14,1
Ercan Şirin,DC,0,85,Creativity,4,4,0
Ercan Şirin,DC,0,85,Movement,7,7,0
Ercan Şirin,DC,0,85,Positioning,11,13,2
Melih Ataş,GK,1,68,Pace,5,5,0
Melih Ataş,GK,1,68,Strength,5,5,0
Melih Ataş,GK,1,68,Stamina,3,3,0
Melih Ataş,GK,1,68,Technique,9,9,0
Melih Ataş,GK,1,68,Aggression,12,12,0
Melih Ataş,GK,1,68,Leadership,4,4,0
Melih Ataş,GK,1,68,Agility,13,13,0
Melih Ataş,GK,1,68,Teamwork,4,4,0
Melih Ataş,GK,1,68,Crossing,1,1,0
Melih Ataş,GK,1,68,Dribbling,3,4,1
Melih Ataş,GK,1,68,Tackling,1,1,0
Melih Ataş,GK,1,68,Shooting,2,2,0
Melih Ataş,GK,1,68,Aerial,13,14,1
Melih Ataş,GK,1,68,Passing,8,9,1
Melih Ataş,GK,1,68,Decisions,7,6,-1
Melih Ataş,GK,1,68,Creativity,3,3,0
Melih Ataş,GK,1,68,Movement,3,4,1
Melih Ataş,GK,1,68,Positioning,2,2,0
Melih Ataş,GK,1,68,Handling,13,12,-1
Melih Ataş,GK,1,68,Kicking,10,10,0
Melih Ataş,GK,1,68,Reflexes,12,12,0
Melih Ataş,GK,1,68,Communication,2,7,5
Melih Ataş,GK,1,68,Throwing,7,6,-1
Turan Demirci,MR,0,65,Pace,13,13,0
Turan Demirci,MR,0,65,Strength,5,5,0
Turan Demirci,MR,0,65,Stamina,7,7,0
Turan Demirci,MR,0,65,Technique,9,9,0
Turan Demirci,MR,0,65,Aggression,10,10,0
Turan Demirci,MR,0,65,Leadership,9,9,0
Turan Demirci,MR,0,65,Agility,10,10,0
Turan Demirci,MR,0,65,Teamwork,7,7,0
Turan Demirci,MR,0,65,Crossing,8,8,0
Turan Demirci,MR,0,65,Dribbling,11,9,-2
Turan Demirci,MR,0,65,Tackling,7,7,0
Turan Demirci,MR,0,65,Shooting,5,5,0
Turan Demirci,MR,0,65,Aerial,5,6,1
Turan Demirci,MR,0,65,Passing,10,9,-1
Turan Demirci,MR,0,65,Decisions,12,12,0
Turan Demirci,MR,0,65,Creativity,7,7,0
Turan Demirci,MR,0,65,Movement,11,11,0
Turan Demirci,MR,0,65,Positioning,4,4,0
Emre Erdem,DC,0,50,Pace,5,5,0
Emre Erdem,DC,0,50,Strength,5,6,0
Emre Erdem,DC,0,50,Stamina,5,6,0
Emre Erdem,DC,0,50,Technique,1,1,0
Emre Erdem,DC,0,50,Aggression,10,10,0
Emre Erdem,DC,0,50,Leadership,3,3,0
Emre Erdem,DC,0,50,Agility,8,8,0
Emre Erdem,DC,0,50,Teamwork,5,5,0
Emre Erdem,DC,0,50,Crossing,1,2,1
Emre Erdem,DC,0,50,Dribbling,1,2,1
Emre Erdem,DC,0,50,Tackling,10,10,0
Emre Erdem,DC,0,50,Shooting,2,3,1
Emre Erdem,DC,0,50,Aerial,10,10,0
Emre Erdem,DC,0,50,Passing,4,4,0
Emre Erdem,DC,0,50,Decisions,11,11,0
Emre Erdem,DC,0,50,Creativity,3,3,0
Emre Erdem,DC,0,50,Movement,1,4,3
Emre Erdem,DC,0,50,Positioning,11,13,2
Ege Okka,MC,0,55,Pace,11,11,0
Ege Okka,MC,0,55,Strength,5,5,0
Ege Okka,MC,0,55,Stamina,10,10,0
Ege Okka,MC,0,55,Technique,10,10,0
Ege Okka,MC,0,55,Aggression,8,8,0
Ege Okka,MC,0,55,Leadership,9,9,0
Ege Okka,MC,0,55,Agility,10,10,0
Ege Okka,MC,0,55,Teamwork,9,9,0
Ege Okka,MC,0,55,Crossing,3,3,0
Ege Okka,MC,0,55,Dribbling,3,3,0
Ege Okka,MC,0,55,Tackling,5,5,0
Ege Okka,MC,0,55,Shooting,6,5,-1
Ege Okka,MC,0,55,Aerial,3,3,0
Ege Okka,MC,0,55,Passing,10,9,-1
Ege Okka,MC,0,55,Decisions,14,14,0
Ege Okka,MC,0,55,Creativity,12,12,0
Ege Okka,MC,0,55,Movement,10,10,0
Ege Okka,MC,0,55,Positioning,7,6,-1
Berkay Ertürk,AMR,0,55,Pace,7,7,0
Berkay Ertürk,AMR,0,55,Strength,4,5,0
Berkay Ertürk,AMR,0,55,Stamina,7,8,0
Berkay Ertürk,AMR,0,55,Technique,10,10,0
Berkay Ertürk,AMR,0,55,Aggression,6,6,0
Berkay Ertürk,AMR,0,55,Leadership,11,11,0
Berkay Ertürk,AMR,0,55,Agility,8,8,0
Berkay Ertürk,AMR,0,55,Teamwork,9,9,0
Berkay Ertürk,AMR,0,55,Crossing,11,11,0
Berkay Ertürk,AMR,0,55,Dribbling,9,10,1
Berkay Ertürk,AMR,0,55,Tackling,2,3,1
Berkay Ertürk,AMR,0,55,Shooting,3,4,1
Berkay Ertürk,AMR,0,55,Aerial,9,9,0
Berkay Ertürk,AMR,0,55,Passing,7,9,2
Berkay Ertürk,AMR,0,55,Decisions,7,7,0
Berkay Ertürk,AMR,0,55,Creativity,7,7,0
Berkay Ertürk,AMR,0,55,Movement,10,12,2
Berkay Ertürk,AMR,0,55,Positioning,2,3,1
Efe Doğan,GK,1,55,Pace,8,9,0
Efe Doğan,GK,1,55,Strength,3,5,0
Efe Doğan,GK,1,55,Stamina,1,3,0
Efe Doğan,GK,1,55,Technique,3,3,0
Efe Doğan,GK,1,55,Aggression,7,7,0
Efe Doğan,GK,1,55,Leadership,1,1,0
Efe Doğan,GK,1,55,Agility,9,9,0
Efe Doğan,GK,1,55,Teamwork,3,3,0
Efe Doğan,GK,1,55,Crossing,1,1,0
Efe Doğan,GK,1,55,Dribbling,3,3,0
