tid,name,club,GK,CA,PA,rep,positions,Aerial,Crossing,Dribbling,Shooting,Passing,Tackling,Technique,Aggression,Creativity,Decisions,Leadership,Movement,Positioning,Teamwork,Pace,Stamina,Strength,Agility,Handling,Kicking,Reflexes,Communication,Throwing
20568,#20568,Pendikspor Futbol A.Ş.,,105,115,4916,AMC/MC/ML/AML/MR/AMR,5,12,11,13,11,4,15,6,12,11,6,12,8,11,10,10,6,13,1,2,2,2,3
20738,#20738,Eskişehirspor,Y,105,120,5185,GK,14,1,2,1,9,2,8,13,5,11,11,1,6,12,9,12,13,13,14,10,12,7,10
21754,#21754,Şanlıurfaspor,,105,122,4826,DMC/MC/DC,12,8,8,9,11,14,11,16,9,13,7,8,14,13,11,12,13,10,1,1,1,3,3
27441,#27441,Altay,,105,125,5237,DC/DR/DL,10,11,10,8,9,9,13,9,9,10,11,8,9,11,12,14,11,9,1,2,2,1,3
32635,#32635,Akhisarspor,,105,120,5001,DL/DML,8,8,9,7,9,14,8,15,9,15,10,6,7,9,13,7,8,11,1,4,2,2,3
5588,#5588,Altay,,105,105,4373,DMC/MC,8,8,8,11,13,10,15,15,8,14,12,9,11,12,11,11,6,11,1,3,2,1,3
16030,#16030,Altay,,102,121,4595,ST/AMC,11,3,10,15,7,2,14,5,4,13,7,15,8,7,6,6,10,12,1,2,1,1,1
23656,#23656,Ankara Demirspor,,101,109,4276,ST/AMR/AML,10,7,10,16,11,5,10,9,10,11,10,12,4,11,15,12,16,13,1,1,1,1,1
14037,#14037,Kırklarelispor,,100,105,3909,DC/DL,14,9,8,6,7,14,8,12,5,12,10,6,12,12,7,11,14,6,1,1,1,1,2
20428,#20428,Ankara Demirspor,Y,100,105,4888,GK,11,1,3,1,6,2,8,9,2,11,12,1,12,13,5,10,11,10,13,10,13,10,10
20953,#20953,Altay,Y,100,105,4378,GK,13,1,3,1,9,1,11,8,8,12,8,1,10,10,11,13,12,12,12,10,11,8,6
20979,#20979,Şanlıurfaspor,,100,110,4823,DL/DML/ML/AML/MR/AMR/AMC,11,12,11,10,8,10,13,10,9,10,2,9,6,11,12,12,13,11,1,1,1,1,1
21083,#21083,Kırşehir Belediye Spor,,100,105,4688,MC/DMC/ML/AMC,6,12,13,7,11,9,13,16,10,11,10,11,9,15,12,10,7,14,1,1,1,1,3
21194,#21194,Pendikspor Futbol A.Ş.,,100,105,4587,DR/MR/DMR/AMR,8,12,10,6,9,10,10,10,10,12,6,12,8,12,14,14,9,13,1,1,1,1,2
21210,#21210,Şanlıurfaspor,,100,110,4504,ST,12,6,10,17,7,5,12,7,8,11,8,13,6,7,12,9,12,11,1,1,2,1,2
21342,#21342,Tarsus İdman Yurdu,,100,110,4623,AMC/MC/ML/AML/DMC,8,11,14,12,11,6,13,11,10,9,7,10,5,12,13,10,10,11,1,3,1,1,3
21373,#21373,Pendikspor Futbol A.Ş.,,100,110,4910,MC/DMC/AMC/ML/AML,9,11,10,9,11,9,14,13,11,12,10,12,8,12,10,9,7,12,1,2,1,1,3
21404,#21404,Eskişehirspor,Y,100,100,4284,GK,13,1,2,1,6,2,9,6,9,13,5,1,13,10,8,12,12,10,10,10,12,7,9
21413,#21413,Şanlıurfaspor,,100,115,4821,AMR/AML/MR/ML,8,11,14,9,9,6,12,10,11,11,9,13,5,10,15,8,6,14,2,3,1,2,3
21414,#21414,Pendikspor Futbol A.Ş.,,100,115,4812,DL/DML/ML,7,10,9,13,9,10,10,15,6,11,7,10,7,15,12,14,11,13,1,3,1,2,3
21812,#21812,Karacabey Belediye Spor A.Ş.,,100,118,5053,AMR/AML/MR/ML,8,11,14,11,11,5,13,7,12,13,5,10,5,9,12,10,9,12,1,3,2,2,1
21915,#21915,Tarsus İdman Yurdu,,100,125,4853,DMC/DC/MC/DL,12,10,9,6,12,13,10,11,10,11,7,7,16,13,11,10,9,9,1,1,1,2,2
22117,#22117,Pendikspor Futbol A.Ş.,,100,104,4798,ST,11,7,9,15,9,5,11,8,9,11,6,11,8,11,11,10,11,11,1,1,1,1,3
22177,#22177,24Erzincanspor,,100,109,5223,MC/AMC/DMC,7,8,13,12,10,8,13,12,11,12,7,11,5,11,12,11,9,14,1,1,1,1,1
22641,#22641,1922 Konyaspor,,100,116,4182,DMC/MC/AMC/ML/AML,11,5,5,11,9,13,10,7,11,15,10,11,11,10,11,10,9,10,3,3,1,2,2
28458,#28458,Akhisarspor,,100,155,4961,AMR/AMC/MR/ML/MC/AML,4,14,15,9,13,5,14,8,13,10,5,11,7,8,12,10,7,13,3,2,1,3,2
32659,#32659,Eskişehirspor,,100,116,4774,DC/DR,11,7,8,5,5,15,6,8,7,14,1,4,14,6,13,8,7,13,2,3,2,2,5
21940,Ahmet Sun,Bucaspor 1928,,100,107,4579,AML/ML/MR/AMR,9,11,13,7,13,6,11,7,10,13,9,17,6,9,12,12,4,11,2,3,1,1,3
27224,#27224,Eskişehirspor,,99,114,4848,AMC/MC/ST/DMC/MR/AML/AMR/ML,8,9,8,12,9,9,14,8,9,12,10,11,11,12,12,12,12,12,1,1,1,2,2
27756,#27756,Pendikspor Futbol A.Ş.,,99,108,4541,DC/DMC/DR/MC/DL,14,5,5,6,7,15,10,5,8,13,11,7,12,10,10,16,11,12,1,2,1,1,3
20433,#20433,Pazarspor,,95,110,3907,ST,12,6,9,14,6,1,10,13,6,7,10,13,9,12,10,9,12,11,1,1,1,1,2
20601,#20601,Ankara Demirspor,,95,105,4716,DC,13,5,4,5,7,12,7,13,6,11,9,9,12,13,11,11,13,11,1,4,1,2,1
20674,#20674,Altay,,95,100,4504,DL/ML/DML,9,13,10,7,7,10,12,14,6,10,9,7,10,12,11,12,9,13,1,2,1,1,3
20722,#20722,Tarsus İdman Yurdu,,95,100,4319,DC/DR/DL,9,9,9,5,9,11,9,13,5,12,12,6,9,13,12,11,13,11,1,1,1,1,2
20777,#20777,Amed Sportif Faaliyetler,,95,105,4950,ST/AMR/AML,12,6,12,14,8,6,11,14,9,11,5,13,7,12,14,10,11,13,1,2,1,1,1
20791,#20791,Ankara Demirspor,,95,100,4484,DC/DR,13,5,5,5,9,13,10,16,5,12,9,4,15,11,12,11,13,13,1,2,1,1,2
20797,#20797,Tarsus İdman Yurdu,Y,95,105,4596,GK,15,1,4,2,9,3,11,11,6,11,3,1,13,10,7,6,13,15,12,8,11,7,10
20799,#20799,Tarsus İdman Yurdu,,95,110,4667,ST/AML/AMR,11,9,9,13,8,5,11,5,6,11,10,11,9,6,12,11,11,12,1,2,2,1,3
20838,#20838,Kırklarelispor,,95,105,4782,DMC/DR/MC/DL/DC/DMR/MR/ML,10,10,11,6,11,11,12,11,7,11,11,8,11,12,10,13,12,11,1,2,1,1,2
20892,#20892,Eskişehirspor,,95,95,4732,AMC/MC,5,9,10,9,12,5,14,5,10,13,10,12,7,11,7,8,9,13,1,4,1,1,2
20907,#20907,Tarsus İdman Yurdu,,95,95,3932,DR/MR/DMR,11,9,10,7,5,11,10,15,7,15,11,7,9,9,14,7,8,14,1,1,2,1,2
21023,#21023,Amed Sportif Faaliyetler,,95,120,4905,AMR/AML/MR/ST/ML/DR,11,11,12,11,9,5,11,12,10,11,6,13,8,10,14,10,12,12,1,1,3,2,1
21099,#21099,Kırklarelispor,,95,100,4614,DC/DR,11,5,5,5,6,10,7,12,7,16,7,7,10,11,9,9,10,11,1,4,1,2,1
21274,#21274,24Erzincanspor,,95,115,4268,ST,13,6,9,14,7,5,12,8,10,10,7,12,5,12,12,11,12,12,1,1,2,2,2
21491,#21491,Pendikspor Futbol A.Ş.,,95,100,4042,AMR/AML/AMC/MR/ML/MC,7,11,13,11,12,5,14,5,12,11,7,11,6,9,11,8,5,14,1,2,2,1,2
21561,#21561,Şanlıurfaspor,,95,115,4760,AMR/MR/MC/AMC/ML/AML,5,12,11,9,11,5,13,10,12,10,7,10,6,11,12,11,7,14,1,1,2,1,2
21860,#21860,Kırklarelispor,,95,117,4707,AMR/AML/MR/DR/ML,6,10,12,6,9,9,12,8,9,10,8,11,9,13,15,10,12,13,2,4,1,2,3
21997,#21997,Kırklarelispor,,95,107,4498,DC,15,5,4,6,10,14,8,13,5,11,9,8,12,9,11,10,8,11,1,2,1,2,3
22110,#22110,Tarsus İdman Yurdu,,95,105,4552,AML/AMR/ML/MR/ST,6,10,11,13,9,5,11,8,10,11,7,14,6,10,14,13,7,13,1,1,1,1,2
22519,#22519,Tarsus İdman Yurdu,,95,105,4548,ST/AMC,9,7,10,13,10,4,11,12,11,11,7,10,5,9,11,10,11,9,1,3,2,2,3
22543,#22543,Zonguldak Kömürspor,,95,113,4185,ST,13,5,7,12,9,4,9,11,10,9,7,11,14,13,9,12,13,8,1,3,3,3,3
22684,#22684,Karacabey Belediye Spor A.Ş.,,95,95,4461,AMR/MR,9,12,11,8,9,7,12,7,8,12,11,13,5,8,13,11,5,12,1,1,3,1,1
22694,#22694,Isparta 32 Spor,,95,110,4364,DC,13,5,5,5,10,12,7,12,6,10,5,9,13,9,10,12,15,7,1,3,2,3,3
22765,#22765,Kırklarelispor,,95,123,3287,DMC/MC,8,5,7,7,9,13,10,12,8,14,7,6,13,8,13,11,7,12,2,1,3,2,1
23037,#23037,Isparta 32 Spor,,95,115,3072,AMC/MC/AML/AMR/MR/ML,10,12,12,8,12,6,14,10,12,10,7,10,6,10,11,12,7,14,1,2,1,1,1
25728,#25728,Uşak Spor A.Ş.,,95,121,4263,DMC/MC/DR/DMR/DL/ML/MR/DML/AMR/AML,8,12,9,8,11,8,12,10,9,11,6,9,10,15,11,10,8,13,1,1,1,1,3
26829,#26829,Eskişehirspor,,95,110,3368,MC/AMC/DMC,11,12,9,11,11,7,15,10,12,11,5,10,6,10,10,10,10,12,3,1,2,3,1
28443,#28443,Nazilli Belediyespor,,95,113,4945,DR/DMR/MR,11,11,7,9,11,9,6,11,7,10,6,10,8,9,13,13,14,11,1,4,1,2,4
28465,#28465,Uşak Spor A.Ş.,,95,115,4953,AMR/MR/AML/ML/AMC/ST/MC,5,11,9,11,12,9,11,8,8,10,9,9,10,11,12,9,8,8,3,4,3,3,2
28704,#28704,Akhisarspor,,95,118,4748,AML/AMR/ML,9,10,14,14,8,5,13,12,8,13,4,13,11,9,10,11,11,12,3,3,2,3,3
29882,#29882,Kırşehir Belediye Spor,,95,142,3040,DC,13,5,7,5,9,13,10,13,7,10,5,7,12,8,12,10,10,12,4,3,2,4,3
30669,#30669,1922 Konyaspor,,95,101,3367,AML/ML/ST,3,11,15,6,8,8,10,11,11,12,5,15,7,8,12,10,2,11,4,2,2,1,4
5315,#5315,Akhisarspor,Y,95,112,4810,GK,14,1,2,1,7,1,7,12,4,10,12,1,10,11,7,8,16,14,12,8,11,9,7
21319,Gökhan Köseoğlu,Bucaspor 1928,,95,95,3574,DC/DMC/DL,11,6,11,6,10,10,11,10,9,13,12,6,8,11,10,10,11,11,1,2,2,1,1
20915,Onur Özcan,Bucaspor 1928,,95,95,4388,DC,15,5,5,5,5,14,5,14,5,12,9,8,15,9,9,10,13,10,1,1,1,1,1
15441,#15441,Ankara Demirspor,,94,100,3632,MC/AMC/MR/AMR/DMC,6,11,12,9,11,5,13,7,10,12,6,10,8,12,11,11,7,13,1,1,1,1,2
21017,#21017,Şanlıurfaspor,,94,110,4234,MR/MC/DR/AMC/AMR/DMC/ML/AML,7,9,8,8,12,9,13,8,10,12,8,10,8,11,12,7,7,12,1,1,3,2,1
21248,#21248,Pendikspor Futbol A.Ş.,,94,105,4636,DMC/MC/DC,10,5,7,6,11,12,11,14,10,13,13,8,11,13,9,12,11,11,1,1,1,1,1
27408,#27408,Amed Sportif Faaliyetler,,94,120,5008,AML/AMR/ML/MR/ST,10,12,11,12,10,6,12,14,9,10,7,10,7,8,11,10,7,11,1,1,1,2,2
24999,#24999,Eskişehirspor,,93,111,4736,AMC/MC/AMR/ST/DMC/MR,8,6,11,8,12,6,10,7,9,11,2,12,9,8,14,14,7,14,1,2,1,1,2
28551,#28551,Isparta 32 Spor,,93,93,4091,AML/AMR/ST/AMC,7,12,13,10,6,7,13,7,9,12,3,14,5,8,13,10,8,14,2,3,1,1,3
20720,#20720,Ankara Demirspor,,92,120,4596,AML/AMR/MR/AMC/ML,6,12,13,12,10,5,15,8,11,10,8,11,5,8,11,10,5,14,1,2,2,2,2
22974,#22974,Akhisarspor,,92,92,4712,AML/ML/MR/AMR,5,13,14,10,10,5,12,10,10,9,4,11,4,9,13,11,7,14,1,3,3,1,1
28150,#28150,Isparta 32 Spor,,92,92,4449,MC/DMC/AMC,9,5,8,7,11,10,11,8,11,12,5,10,9,11,11,12,10,10,1,2,1,2,3
28517,#28517,Kırklarelispor,,91,91,4504,AML/ML/MR/AMR/DL,6,13,12,6,9,5,14,12,10,12,4,10,7,9,13,10,7,14,1,1,1,1,1
14114,#14114,Akhisarspor,,90,100,4271,AMC/ST/MC/AML/AMR/ML/MR,9,7,12,9,12,5,12,8,10,11,8,10,5,11,12,12,9,9,2,1,2,1,2
20399,#20399,Pendikspor Futbol A.Ş.,Y,90,120,4180,GK,13,1,1,1,7,1,9,13,6,12,15,1,12,11,4,9,12,12,12,10,10,8,8
20431,#20431,Tarsus İdman Yurdu,,90,100,4569,DC,13,4,4,5,6,12,7,13,5,12,12,8,14,10,9,10,13,10,2,2,1,1,1
20473,#20473,Amed Sportif Faaliyetler,Y,90,105,5080,GK,10,2,3,1,7,2,7,10,6,12,9,1,14,8,8,8,10,10,11,10,11,8,9
20678,#20678,Tarsus İdman Yurdu,,90,90,4569,DC/DR,14,5,5,5,5,15,7,15,5,12,5,6,14,11,10,9,13,10,1,1,1,2,2
20772,#20772,Ankara Demirspor,,90,95,4288,DR/DL/DMR/MR,9,11,10,4,8,11,10,16,6,10,8,8,8,13,13,12,8,14,1,1,1,1,2
20808,#20808,Şanlıurfaspor,Y,90,95,3618,GK,14,2,2,2,8,2,9,9,12,10,8,1,10,12,9,10,11,11,11,11,9,6,8
20896,#20896,Pendikspor Futbol A.Ş.,,90,95,4516,DC/DMC/ST,13,6,6,9,7,12,10,13,4,11,8,8,11,10,12,10,12,12,1,2,1,1,2
20899,#20899,Pazarspor,,90,100,4311,DC/DR/DMC,11,7,8,4,10,12,12,11,7,10,6,6,12,13,11,10,11,11,1,3,1,1,3
20947,#20947,1922 Konyaspor,Y,90,90,4435,GK,10,1,3,3,8,1,7,14,3,11,5,8,12,6,6,7,10,13,11,7,12,8,6
20948,#20948,Kırşehir Belediye Spor,Y,90,90,4166,GK,11,2,2,3,11,2,10,5,4,10,6,1,13,11,10,8,8,13,12,11,14,6,10
20950,#20950,Amed Sportif Faaliyetler,,90,110,4790,DC,14,4,4,5,7,14,7,18,4,11,8,7,13,10,11,12,12,13,1,2,1,2,1
20961,#20961,Ankara Demirspor,,90,105,4640,DMC/MC,8,5,10,6,12,12,12,12,7,12,10,6,11,13,8,11,9,12,1,2,1,2,2
21027,#21027,Kırklarelispor,,90,100,3715,AML/AMR/MR/ML/AMC/DR,5,11,13,9,8,4,13,10,9,13,8,11,7,9,12,8,8,13,2,1,1,2,1
21035,#21035,Şanlıurfaspor,,90,100,4070,DC/DMC/DL/DR,12,5,6,5,8,14,9,10,5,13,6,4,13,8,10,10,14,12,1,2,1,2,2
21037,#21037,Zonguldak Kömürspor,,90,95,1856,AMR/MR/ML/AML,6,11,13,8,9,4,9,10,8,9,10,13,6,10,14,13,5,14,1,1,1,1,2
21057,#21057,Ankara Demirspor,,90,105,3431,DL/DC/MR/DML,5,10,7,5,6,13,6,11,7,12,12,7,9,8,14,14,12,14,1,1,1,1,2
21100,#21100,Zonguldak Kömürspor,,90,110,1772,DL/AML/ML/AMR/DML/MR/DR,6,11,12,9,10,9,13,12,11,10,7,9,6,12,10,9,7,12,1,1,1,3,2
21111,#21111,Tarsus İdman Yurdu,,90,100,4454,MC/DMC/MR/AMC,8,7,9,5,11,10,11,13,9,11,6,8,11,13,10,12,12,14,1,1,1,1,2
21115,#21115,Pendikspor Futbol A.Ş.,,90,110,4410,MC/DMC,6,5,9,8,11,8,13,10,10,12,9,10,9,14,10,13,11,12,1,2,1,1,1
21124,#21124,24Erzincanspor,Y,90,110,4550,GK,11,1,3,1,7,3,8,15,6,9,12,2,15,9,7,10,14,12,13,11,12,9,9
21205,#21205,Ankara Demirspor,,90,110,4701,MC/DMC/DC,11,5,8,9,11,10,12,13,9,12,10,10,11,12,11,12,13,12,1,2,1,1,2
21207,#21207,Tarsus İdman Yurdu,,90,90,4558,DR/DMR/MR/AMR,5,9,10,6,8,10,7,10,5,11,6,10,10,14,15,14,13,13,1,3,1,1,3
21222,#21222,Isparta 32 Spor,,90,90,4023,ST/AML/AMR,7,10,8,12,8,4,8,13,8,12,7,10,5,8,13,12,6,13,1,1,1,1,2
21227,#21227,Amed Sportif Faaliyetler,,90,90,4944,DL/DR/DMC/ML/MC/DML/DMR/MR,7,10,10,5,9,11,11,16,5,11,6,10,5,12,11,11,10,15,1,1,2,1,2
21263,#21263,Karacabey Belediye Spor A.Ş.,,90,110,4668,AML/ML/MR/AMR,7,11,12,8,9,4,14,8,7,14,11,14,5,9,12,13,4,11,2,1,1,1,1
21354,#21354,Amed Sportif Faaliyetler,,90,90,4825,DMC/MC,8,5,7,6,11,14,10,13,8,12,6,7,13,14,11,11,12,12,1,3,2,1,2
21380,#21380,Ankara Demirspor,,90,95,4385,DMC/MC/DC/AMC,12,12,8,7,11,7,14,10,12,11,7,9,7,11,10,9,10,12,1,2,1,2,2
21415,#21415,Tarsus İdman Yurdu,,90,105,4122,AMR/MR/AML/ML/AMC,7,10,12,10,10,4,13,7,10,8,8,12,6,10,12,9,9,12,2,2,2,1,1
21456,#21456,Tarsus İdman Yurdu,,90,105,4087,ST/AML/AMR/ML/MR/AMC,11,11,10,9,9,6,13,12,6,9,6,10,9,11,11,10,12,12,1,2,1,1,1
21457,#21457,Ankara Demirspor,,90,110,4480,AMR/AML/ML/MR,9,11,13,8,9,5,12,5,10,11,4,12,8,12,14,10,8,13,1,1,2,2,3
21485,#21485,Uşak Spor A.Ş.,,90,100,4619,ST,11,6,9,12,10,5,13,10,7,11,8,12,5,8,11,10,11,12,3,3,1,1,2
21506,#21506,Ankara Demirspor,,90,105,4477,AMR/AML/ST/ML/MR,7,11,11,11,10,5,12,10,10,11,6,12,7,11,12,11,10,12,2,1,1,1,2
21638,#21638,Akhisarspor,,90,110,4544,DL/DML/DR/ML,6,9,9,5,11,10,10,7,8,9,6,9,9,13,13,13,7,14,1,2,1,3,3
21717,#21717,Tarsus İdman Yurdu,,90,114,4381,MC/AMC/DMC,5,6,11,8,12,6,15,8,12,11,4,11,7,12,10,11,6,13,1,2,2,2,1
21856,#21856,24Erzincanspor,,90,100,4512,DC/DL,12,4,9,5,13,9,10,8,11,10,12,4,9,10,12,12,12,12,2,2,1,1,2
21969,#21969,1922 Konyaspor,,90,109,3768,DC/DMC,7,6,4,6,5,12,7,8,8,13,10,7,15,9,11,7,10,11,1,3,1,1,2
22150,#22150,Ankara Demirspor,,90,116,4088,ST/AMC/AML/AMR,9,9,11,10,10,5,13,10,10,9,6,10,5,10,12,11,12,12,1,1,1,2,2
22232,#22232,Akhisarspor,,90,119,4587,DC,10,4,4,5,6,11,8,10,7,11,8,8,14,13,9,11,11,9,1,4,2,2,1
22522,#22522,Karacabey Belediye Spor A.Ş.,,90,111,4790,MC/DMC/AMC,8,11,8,6,12,8,13,8,12,12,7,8,9,12,11,9,9,12,2,3,2,2,4
22530,#22530,Tarsus İdman Yurdu,,90,121,4649,DC/DMC,15,5,7,6,11,11,11,12,9,10,7,6,10,12,11,12,14,10,2,1,1,2,3
22559,#22559,Tarsus İdman Yurdu,,90,110,3842,DC/DL/DMC/DR,11,6,9,5,11,9,7,10,9,10,6,5,11,13,11,12,13,12,3,2,1,2,2
22670,#22670,Isparta 32 Spor,,90,90,4477,DMC/MC,9,7,9,8,13,11,12,7,7,11,11,10,11,12,10,12,10,9,1,2,3,2,1
22677,#22677,Akhisarspor,,90,106,3598,DR/DL/DMR,7,8,9,5,9,13,7,7,4,14,1,4,12,10,12,9,9,13,2,1,3,2,3
22746,#22746,Isparta 32 Spor,Y,90,90,3722,GK,9,1,1,2,6,1,1,6,5,11,10,2,9,6,10,5,6,6,13,8,13,5,8
25164,#25164,Karacabey Belediye Spor A.Ş.,,90,110,4718,AMC/MC/ST/DMC,9,6,9,8,8,8,12,5,13,10,11,11,9,8,13,7,6,13,1,1,1,2,1
28146,#28146,Nazilli Belediyespor,,90,100,4576,MC/AMC/DMC,7,10,8,10,11,7,11,11,10,11,10,9,8,11,11,8,7,12,1,3,1,1,2
30867,#30867,Pazarspor,,90,95,3677,AML/AMR/ML/MR,12,14,13,6,11,7,13,11,7,12,2,14,6,9,13,7,6,11,3,2,2,2,3
32640,#32640,Eskişehirspor,,90,95,4893,MC/AMC/ML,6,13,9,11,13,4,13,8,12,10,7,10,6,10,9,10,8,11,3,2,3,2,3
5002,#5002,Şanlıurfaspor,,90,115,4223,MC/AMC/ML/MR/AML/AMR/DR/ST,9,10,11,8,11,10,12,13,7,10,7,12,9,13,9,11,10,12,1,1,1,1,1
5125,#5125,Zonguldak Kömürspor,Y,90,100,4661,GK,11,1,2,3,8,3,8,5,4,10,11,2,11,7,5,7,11,10,12,10,10,9,10
5150,#5150,Kırklarelispor,,90,100,4673,DR/DMR/DL,8,9,9,5,11,11,10,12,7,11,16,7,10,14,11,11,11,10,2,1,1,2,2
8586,#8586,Kırklarelispor,Y,90,90,4269,GK,12,1,2,2,7,1,7,6,4,11,9,1,10,8,8,10,11,11,10,7,12,6,6
8599,#8599,Zonguldak Kömürspor,,90,100,1824,DC/DR,14,8,4,10,6,10,8,11,4,11,11,10,11,10,8,9,13,8,2,4,2,2,3
8600,#8600,Şanlıurfaspor,,90,105,4244,ST,15,1,5,11,7,6,10,15,6,13,9,12,10,12,10,12,14,10,2,1,1,1,2
21113,Ahmet Aktaş,Bucaspor 1928,,90,90,3477,DL/DR,8,9,10,6,9,11,11,12,6,11,6,7,10,11,12,11,10,12,1,2,2,1,1
21425,Berke Bıyık,Bucaspor 1928,,90,95,3843,AML/AMR/ST,4,11,15,10,8,5,12,10,11,11,7,12,5,8,13,11,8,13,3,1,2,1,1
21125,Fuat Gölbaşı,Bucaspor 1928,,90,90,4263,ST,11,5,8,13,8,6,10,12,7,11,11,12,7,11,10,12,12,10,1,1,1,1,2
20648,Murat Behram,Bucaspor 1928,,90,100,3808,ST/AML,11,6,9,14,7,6,10,10,7,11,10,12,7,11,10,11,11,10,1,1,2,2,1
21919,Recep Gül,Bucaspor 1928,,90,118,4557,AMR/AML/ML/MR/AMC/MC,6,13,14,12,12,4,12,10,12,11,10,11,5,12,10,8,7,11,1,2,1,3,2
21029,#21029,Pendikspor Futbol A.Ş.,,89,105,4397,DC/DL,13,4,10,5,10,9,12,10,9,10,11,4,12,11,9,10,13,11,3,2,1,1,1
21819,#21819,Ankara Demirspor,,89,109,4271,ST,7,7,10,10,7,10,10,14,3,10,6,10,12,12,15,10,9,14,1,1,1,2,2
22656,#22656,Isparta 32 Spor,,89,89,4325,DMC/MC,7,8,4,8,14,10,8,13,10,15,7,4,11,11,10,13,8,12,2,2,1,1,1
22552,#22552,Kırklarelispor,,88,88,4739,ST,11,6,10,9,11,4,11,7,9,11,5,10,4,13,12,12,12,11,1,2,1,1,2
25939,#25939,Tarsus İdman Yurdu,,88,90,3973,ST/AML/AMR/ML/MR/AMC,9,8,12,15,7,4,12,9,7,10,14,12,4,11,12,11,7,12,1,1,1,1,3
17352,#17352,Eskişehirspor,,87,90,4223,DL/DML,7,8,6,6,8,12,7,6,7,14,14,6,10,9,12,14,7,14,2,3,1,1,3
22719,#22719,1922 Konyaspor,,87,87,3525,DMC/DC/MC,11,4,5,6,7,12,7,9,8,14,8,5,9,9,13,7,7,13,2,1,1,1,3
22950,#22950,Akhisarspor,,87,92,4468,DC/DL,12,4,6,4,10,10,10,11,8,10,8,8,11,10,10,8,12,10,1,3,2,1,1
17829,#17829,Eskişehirspor,,86,88,4155,DR/AMR/MR/DL/AMC/DMR,7,10,9,5,12,8,8,5,6,11,1,13,7,7,13,13,4,12,2,1,1,1,2
22723,#22723,Isparta 32 Spor,,86,86,4354,AML/AMR/ML/MR,4,14,9,8,9,5,11,8,8,9,7,11,7,4,13,10,4,12,2,2,4,1,1
26978,#26978,Eskişehirspor,,86,101,4305,DR/DC/DMC/DMR/MC,13,8,6,6,11,10,11,10,7,9,10,7,11,11,9,10,8,10,2,2,1,2,1
20509,#20509,Karacabey Belediye Spor A.Ş.,,85,110,3973,DL/DML/ML/DR,9,10,9,6,10,10,11,13,6,10,5,7,8,12,12,11,9,12,1,3,1,1,1
