method,role,attribute,category,weight
black_hawk,ST,aerial,key,4
black_hawk,ST,movement,key,4
black_hawk,ST,pace,key,4
black_hawk,ST,shooting,important,3
black_hawk,ST,teamwork,important,3
black_hawk,ST,passing,important,3
black_hawk,ST,stamina,useful,2
black_hawk,GK,aerial,key,4
black_hawk,GK,handling,key,4
black_hawk,GK,reflexes,key,4
black_hawk,GK,throwing,key,4
black_hawk,GK,pace,key,4
personal,LB,pace,key,4
personal,LB,dribbling,key,4
personal,LB,positioning,key,4
personal,LB,passing,important,3
personal,LB,decisions,important,3
personal,LB,stamina,important,3
personal,LB,movement,useful,2
personal,LB,crossing,useful,2
personal,LB,tackling,useful,2
personal,RB,pace,key,4
personal,RB,dribbling,key,4
personal,RB,positioning,key,4
personal,RB,passing,important,3
personal,RB,decisions,important,3
personal,RB,stamina,important,3
personal,RB,movement,useful,2
personal,RB,crossing,useful,2
personal,RB,tackling,useful,2
personal,CB,positioning,key,4
personal,CB,decisions,key,4
personal,CB,dribbling,key,4
personal,CB,passing,key,4
personal,CB,pace,important,3
personal,CB,tackling,important,3
personal,CB,aerial,useful,2
personal,CB,strength,useful,2
personal,DM,passing,key,4
personal,DM,decisions,key,4
personal,DM,creativity,key,4
personal,DM,positioning,key,4
personal,DM,movement,important,3
personal,DM,dribbling,important,3
personal,DM,shooting,important,3
personal,DM,teamwork,useful,2
personal,DM,aggression,useful,2
personal,DM,tackling,useful,2
personal,AMC,movement,key,4
personal,AMC,passing,key,4
personal,AMC,decisions,key,4
personal,AMC,creativity,key,4
personal,AMC,dribbling,important,3
personal,AMC,shooting,important,3
personal,AMC,teamwork,useful,2
personal,AMC,positioning,useful,2
personal,CM,movement,key,4
personal,CM,positioning,key,4
personal,CM,decisions,key,4
personal,CM,passing,key,4
personal,CM,tackling,important,3
personal,CM,dribbling,important,3
personal,CM,shooting,important,3
personal,CM,creativity,useful,2
personal,CM,teamwork,useful,2
personal,CM,stamina,useful,2
personal,AML,movement,key,4
personal,AML,pace,key,4
personal,AML,decisions,key,4
personal,AML,dribbling,key,4
personal,AML,passing,important,3
personal,AML,creativity,important,3
personal,AML,shooting,useful,2
personal,AML,crossing,useful,2
personal,AML,positioning,useful,2
personal,AMR,movement,key,4
personal,AMR,pace,key,4
personal,AMR,decisions,key,4
personal,AMR,dribbling,key,4
personal,AMR,passing,important,3
personal,AMR,creativity,important,3
personal,AMR,shooting,useful,2
personal,AMR,crossing,useful,2
personal,AMR,positioning,useful,2
personal,ST,movement,key,4
personal,ST,decisions,key,4
personal,ST,pace,key,4
personal,ST,shooting,important,3
personal,ST,passing,important,3
personal,ST,creativity,important,3
personal,ST,teamwork,useful,2
personal,ST,aerial,useful,2
personal,ST,aggression,useful,2
personal,GK,handling,key,4
personal,GK,reflexes,key,4
personal,GK,throwing,key,4
personal,GK,aerial,important,3
personal,GK,pace,important,3
personal,GK,positioning,important,3
frem_counter,GK,reflexes,key,4
frem_counter,GK,handling,key,4
frem_counter,GK,aerial,key,4
frem_counter,GK,positioning,important,3
frem_counter,GK,throwing,important,3
frem_counter,GK,kicking,important,3
frem_counter,GK,communication,useful,2
frem_counter,CB,positioning,key,4
frem_counter,CB,aerial,key,4
frem_counter,CB,pace,key,4
frem_counter,CB,tackling,important,3
frem_counter,CB,strength,important,3
frem_counter,CB,decisions,important,3
frem_counter,CB,stamina,useful,2
frem_counter,LB,pace,key,4
frem_counter,LB,stamina,key,4
frem_counter,LB,crossing,key,4
frem_counter,LB,tackling,important,3
frem_counter,LB,positioning,important,3
frem_counter,LB,movement,important,3
frem_counter,LB,aerial,useful,2
frem_counter,LB,technique,useful,2
frem_counter,LB,decisions,useful,2
frem_counter,RB,pace,key,4
frem_counter,RB,stamina,key,4
frem_counter,RB,crossing,key,4
frem_counter,RB,tackling,important,3
frem_counter,RB,positioning,important,3
frem_counter,RB,movement,important,3
frem_counter,RB,aerial,useful,2
frem_counter,RB,technique,useful,2
frem_counter,RB,decisions,useful,2
frem_counter,DM,tackling,key,4
frem_counter,DM,positioning,key,4
frem_counter,DM,passing,key,4
frem_counter,DM,decisions,key,4
frem_counter,DM,teamwork,important,3
frem_counter,DM,strength,important,3
frem_counter,DM,stamina,important,3
frem_counter,DM,aggression,important,3
frem_counter,DM,pace,useful,2
frem_counter,DM,movement,useful,2
frem_counter,CM,stamina,key,4
frem_counter,CM,movement,key,4
frem_counter,CM,tackling,key,4
frem_counter,CM,passing,key,4
frem_counter,CM,pace,important,3
frem_counter,CM,decisions,important,3
frem_counter,CM,teamwork,important,3
frem_counter,CM,shooting,useful,2
frem_counter,CM,strength,useful,2
frem_counter,CM,dribbling,useful,2
frem_counter,AMC,creativity,key,4
frem_counter,AMC,passing,key,4
frem_counter,AMC,decisions,key,4
frem_counter,AMC,technique,important,3
frem_counter,AMC,dribbling,important,3
frem_counter,AMC,movement,important,3
frem_counter,AMC,shooting,important,3
frem_counter,AMC,pace,useful,2
frem_counter,AMC,agility,useful,2
frem_counter,AML,pace,key,4
frem_counter,AML,dribbling,key,4
frem_counter,AML,crossing,important,3
frem_counter,AML,shooting,important,3
frem_counter,AML,technique,important,3
frem_counter,AML,movement,important,3
frem_counter,AML,stamina,important,3
frem_counter,AML,agility,useful,2
frem_counter,AML,creativity,useful,2
frem_counter,AML,decisions,useful,2
frem_counter,AMR,pace,key,4
frem_counter,AMR,dribbling,key,4
frem_counter,AMR,crossing,important,3
frem_counter,AMR,shooting,important,3
frem_counter,AMR,technique,important,3
frem_counter,AMR,movement,important,3
frem_counter,AMR,stamina,important,3
frem_counter,AMR,agility,useful,2
frem_counter,AMR,creativity,useful,2
frem_counter,AMR,decisions,useful,2
frem_counter,ST,shooting,key,4
frem_counter,ST,pace,key,4
frem_counter,ST,movement,key,4
frem_counter,ST,technique,important,3
frem_counter,ST,dribbling,important,3
frem_counter,ST,agility,important,3
frem_counter,ST,aerial,key,4
frem_counter,ST,stamina,useful,2
frem_counter,ST,decisions,useful,2
frem_gegenpress,GK,reflexes,key,4
frem_gegenpress,GK,handling,key,4
frem_gegenpress,GK,positioning,key,4
frem_gegenpress,GK,decisions,key,4
frem_gegenpress,GK,kicking,important,3
frem_gegenpress,GK,communication,important,3
frem_gegenpress,GK,throwing,useful,2
frem_gegenpress,GK,aerial,useful,2
frem_gegenpress,CB,pace,key,4
frem_gegenpress,CB,positioning,key,4
frem_gegenpress,CB,tackling,key,4
frem_gegenpress,CB,aggression,key,4
frem_gegenpress,CB,decisions,important,3
frem_gegenpress,CB,aerial,important,3
frem_gegenpress,CB,strength,important,3
frem_gegenpress,CB,stamina,useful,2
frem_gegenpress,CB,technique,useful,2
frem_gegenpress,LB,stamina,key,4
frem_gegenpress,LB,pace,key,4
frem_gegenpress,LB,teamwork,key,4
frem_gegenpress,LB,tackling,important,3
frem_gegenpress,LB,positioning,important,3
frem_gegenpress,LB,aggression,important,3
frem_gegenpress,LB,decisions,important,3
frem_gegenpress,LB,technique,useful,2
frem_gegenpress,LB,crossing,useful,2
frem_gegenpress,RB,stamina,key,4
frem_gegenpress,RB,pace,key,4
frem_gegenpress,RB,teamwork,key,4
frem_gegenpress,RB,tackling,important,3
frem_gegenpress,RB,positioning,important,3
frem_gegenpress,RB,aggression,important,3
frem_gegenpress,RB,decisions,important,3
frem_gegenpress,RB,technique,useful,2
frem_gegenpress,RB,crossing,useful,2
frem_gegenpress,DM,tackling,key,4
frem_gegenpress,DM,positioning,key,4
frem_gegenpress,DM,stamina,key,4
frem_gegenpress,DM,teamwork,key,4
frem_gegenpress,DM,aggression,important,3
frem_gegenpress,DM,decisions,important,3
frem_gegenpress,DM,passing,important,3
frem_gegenpress,DM,technique,important,3
frem_gegenpress,DM,strength,useful,2
frem_gegenpress,DM,movement,useful,2
frem_gegenpress,CM,stamina,key,4
frem_gegenpress,CM,teamwork,key,4
frem_gegenpress,CM,aggression,key,4
frem_gegenpress,CM,decisions,important,3
frem_gegenpress,CM,movement,important,3
frem_gegenpress,CM,passing,important,3
frem_gegenpress,CM,technique,important,3
frem_gegenpress,CM,tackling,important,3
frem_gegenpress,CM,positioning,useful,2
frem_gegenpress,CM,shooting,useful,2
frem_gegenpress,CM,pace,useful,2
frem_gegenpress,AML,stamina,key,4
frem_gegenpress,AML,pace,key,4
frem_gegenpress,AML,dribbling,key,4
frem_gegenpress,AML,teamwork,important,3
frem_gegenpress,AML,technique,important,3
frem_gegenpress,AML,movement,important,3
frem_gegenpress,AML,decisions,important,3
frem_gegenpress,AML,shooting,important,3
frem_gegenpress,AML,agility,useful,2
frem_gegenpress,AML,creativity,useful,2
frem_gegenpress,AMR,stamina,key,4
frem_gegenpress,AMR,pace,key,4
frem_gegenpress,AMR,dribbling,key,4
frem_gegenpress,AMR,teamwork,important,3
frem_gegenpress,AMR,technique,important,3
frem_gegenpress,AMR,movement,important,3
frem_gegenpress,AMR,decisions,important,3
frem_gegenpress,AMR,shooting,important,3
frem_gegenpress,AMR,agility,useful,2
frem_gegenpress,AMR,creativity,useful,2
frem_gegenpress,AMC,movement,key,4
frem_gegenpress,AMC,shooting,key,4
frem_gegenpress,AMC,decisions,key,4
frem_gegenpress,AMC,teamwork,key,4
frem_gegenpress,AMC,technique,important,3
frem_gegenpress,AMC,creativity,important,3
frem_gegenpress,AMC,stamina,important,3
frem_gegenpress,AMC,dribbling,important,3
frem_gegenpress,AMC,pace,important,3
frem_gegenpress,AMC,agility,useful,2
frem_gegenpress,ST,stamina,key,4
frem_gegenpress,ST,aggression,key,4
frem_gegenpress,ST,movement,key,4
frem_gegenpress,ST,pace,important,3
frem_gegenpress,ST,teamwork,important,3
frem_gegenpress,ST,shooting,important,3
frem_gegenpress,ST,decisions,important,3
frem_gegenpress,ST,technique,useful,2
frem_gegenpress,ST,aerial,useful,2
frem_attacking_ss,GK,reflexes,key,4
frem_attacking_ss,GK,handling,key,4
frem_attacking_ss,GK,positioning,key,4
frem_attacking_ss,GK,decisions,key,4
frem_attacking_ss,GK,kicking,important,3
frem_attacking_ss,GK,communication,important,3
frem_attacking_ss,GK,throwing,useful,2
frem_attacking_ss,GK,aerial,useful,2
frem_attacking_ss,CB,pace,key,4
frem_attacking_ss,CB,decisions,key,4
frem_attacking_ss,CB,tackling,key,4
frem_attacking_ss,CB,aerial,important,3
frem_attacking_ss,CB,positioning,important,3
frem_attacking_ss,CB,strength,useful,2
frem_attacking_ss,CB,technique,useful,2
frem_attacking_ss,LB,pace,key,4
frem_attacking_ss,LB,stamina,key,4
frem_attacking_ss,LB,crossing,key,4
frem_attacking_ss,LB,movement,important,3
frem_attacking_ss,LB,decisions,important,3
frem_attacking_ss,LB,positioning,important,3
frem_attacking_ss,LB,tackling,useful,2
frem_attacking_ss,LB,technique,useful,2
frem_attacking_ss,LB,teamwork,useful,2
frem_attacking_ss,RB,pace,key,4
frem_attacking_ss,RB,stamina,key,4
frem_attacking_ss,RB,crossing,key,4
frem_attacking_ss,RB,movement,important,3
frem_attacking_ss,RB,decisions,important,3
frem_attacking_ss,RB,positioning,important,3
frem_attacking_ss,RB,tackling,useful,2
frem_attacking_ss,RB,technique,useful,2
frem_attacking_ss,RB,teamwork,useful,2
frem_attacking_ss,DM,tackling,key,4
frem_attacking_ss,DM,decisions,key,4
frem_attacking_ss,DM,passing,key,4
frem_attacking_ss,DM,pace,key,4
frem_attacking_ss,DM,positioning,important,3
frem_attacking_ss,DM,stamina,important,3
frem_attacking_ss,DM,teamwork,important,3
frem_attacking_ss,DM,aggression,important,3
frem_attacking_ss,DM,strength,useful,2
frem_attacking_ss,DM,movement,useful,2
frem_attacking_ss,CM,passing,key,4
frem_attacking_ss,CM,decisions,key,4
frem_attacking_ss,CM,stamina,key,4
frem_attacking_ss,CM,teamwork,important,3
frem_attacking_ss,CM,movement,important,3
frem_attacking_ss,CM,creativity,important,3
frem_attacking_ss,CM,tackling,important,3
frem_attacking_ss,CM,shooting,useful,2
frem_attacking_ss,CM,technique,useful,2
frem_attacking_ss,CM,aggression,useful,2
frem_attacking_ss,CM,aerial,useful,2
frem_attacking_ss,AMC,movement,key,4
frem_attacking_ss,AMC,shooting,key,4
frem_attacking_ss,AMC,pace,key,4
frem_attacking_ss,AMC,decisions,important,3
frem_attacking_ss,AMC,technique,important,3
frem_attacking_ss,AMC,teamwork,important,3
frem_attacking_ss,AMC,dribbling,useful,2
frem_attacking_ss,AMC,creativity,useful,2
frem_attacking_ss,AMC,aerial,useful,2
frem_attacking_ss,AMC,stamina,useful,2
frem_attacking_ss,AML,pace,key,4
frem_attacking_ss,AML,shooting,key,4
frem_attacking_ss,AML,movement,key,4
frem_attacking_ss,AML,passing,important,3
frem_attacking_ss,AML,technique,important,3
frem_attacking_ss,AML,dribbling,important,3
frem_attacking_ss,AML,decisions,important,3
frem_attacking_ss,AML,teamwork,useful,2
frem_attacking_ss,AML,creativity,useful,2
frem_attacking_ss,AML,stamina,useful,2
frem_attacking_ss,AMR,pace,key,4
frem_attacking_ss,AMR,shooting,key,4
frem_attacking_ss,AMR,movement,key,4
frem_attacking_ss,AMR,passing,important,3
frem_attacking_ss,AMR,technique,important,3
frem_attacking_ss,AMR,dribbling,important,3
frem_attacking_ss,AMR,decisions,important,3
frem_attacking_ss,AMR,teamwork,useful,2
frem_attacking_ss,AMR,creativity,useful,2
frem_attacking_ss,AMR,stamina,useful,2
frem_attacking_ss,ST,stamina,key,4
frem_attacking_ss,ST,aggression,key,4
frem_attacking_ss,ST,movement,key,4
frem_attacking_ss,ST,aerial,important,3
frem_attacking_ss,ST,pace,important,3
frem_attacking_ss,ST,shooting,important,3
frem_attacking_ss,ST,teamwork,important,3
frem_attacking_ss,ST,passing,useful,2
frem_attacking_ss,ST,decisions,useful,2
frem_attacking_ss,ST,strength,useful,2
frem_lowblock_overload,GK,reflexes,key,4
frem_lowblock_overload,GK,handling,key,4
frem_lowblock_overload,GK,positioning,key,4
frem_lowblock_overload,GK,kicking,important,3
frem_lowblock_overload,GK,decisions,important,3
frem_lowblock_overload,GK,communication,useful,2
frem_lowblock_overload,GK,throwing,useful,2
frem_lowblock_overload,CB,positioning,key,4
frem_lowblock_overload,CB,aerial,key,4
frem_lowblock_overload,CB,passing,key,4
frem_lowblock_overload,CB,decisions,important,3
frem_lowblock_overload,CB,technique,important,3
frem_lowblock_overload,CB,tackling,important,3
frem_lowblock_overload,CB,strength,useful,2
frem_lowblock_overload,CB,pace,useful,2
frem_lowblock_overload,LB,crossing,key,4
frem_lowblock_overload,LB,pace,key,4
frem_lowblock_overload,LB,dribbling,key,4
frem_lowblock_overload,LB,technique,important,3
frem_lowblock_overload,LB,movement,important,3
frem_lowblock_overload,LB,creativity,important,3
frem_lowblock_overload,LB,stamina,important,3
frem_lowblock_overload,LB,decisions,useful,2
frem_lowblock_overload,LB,passing,useful,2
frem_lowblock_overload,RB,crossing,key,4
frem_lowblock_overload,RB,pace,key,4
frem_lowblock_overload,RB,dribbling,key,4
frem_lowblock_overload,RB,technique,important,3
frem_lowblock_overload,RB,movement,important,3
frem_lowblock_overload,RB,creativity,important,3
frem_lowblock_overload,RB,stamina,important,3
frem_lowblock_overload,RB,decisions,useful,2
frem_lowblock_overload,RB,passing,useful,2
frem_lowblock_overload,DM,passing,key,4
frem_lowblock_overload,DM,creativity,key,4
frem_lowblock_overload,DM,decisions,key,4
frem_lowblock_overload,DM,technique,important,3
frem_lowblock_overload,DM,movement,important,3
frem_lowblock_overload,DM,teamwork,important,3
frem_lowblock_overload,DM,tackling,useful,2
frem_lowblock_overload,DM,positioning,useful,2
frem_lowblock_overload,DM,stamina,useful,2
frem_lowblock_overload,CM,creativity,key,4
frem_lowblock_overload,CM,passing,key,4
frem_lowblock_overload,CM,technique,key,4
frem_lowblock_overload,CM,decisions,important,3
frem_lowblock_overload,CM,movement,important,3
frem_lowblock_overload,CM,shooting,important,3
frem_lowblock_overload,CM,dribbling,important,3
frem_lowblock_overload,CM,stamina,useful,2
frem_lowblock_overload,CM,teamwork,useful,2
frem_lowblock_overload,AMC,creativity,key,4
frem_lowblock_overload,AMC,passing,key,4
frem_lowblock_overload,AMC,technique,key,4
frem_lowblock_overload,AMC,movement,important,3
frem_lowblock_overload,AMC,shooting,important,3
frem_lowblock_overload,AMC,decisions,important,3
frem_lowblock_overload,AMC,dribbling,important,3
frem_lowblock_overload,AMC,pace,useful,2
frem_lowblock_overload,AMC,agility,useful,2
frem_lowblock_overload,AML,dribbling,key,4
frem_lowblock_overload,AML,crossing,key,4
frem_lowblock_overload,AML,technique,key,4
frem_lowblock_overload,AML,pace,important,3
frem_lowblock_overload,AML,creativity,important,3
frem_lowblock_overload,AML,shooting,important,3
frem_lowblock_overload,AML,movement,important,3
frem_lowblock_overload,AML,passing,useful,2
frem_lowblock_overload,AML,agility,useful,2
frem_lowblock_overload,AMR,dribbling,key,4
frem_lowblock_overload,AMR,crossing,key,4
frem_lowblock_overload,AMR,technique,key,4
frem_lowblock_overload,AMR,pace,important,3
frem_lowblock_overload,AMR,creativity,important,3
frem_lowblock_overload,AMR,shooting,important,3
frem_lowblock_overload,AMR,movement,important,3
frem_lowblock_overload,AMR,passing,useful,2
frem_lowblock_overload,AMR,agility,useful,2
frem_lowblock_overload,ST,shooting,key,4
frem_lowblock_overload,ST,movement,key,4
frem_lowblock_overload,ST,aerial,key,4
frem_lowblock_overload,ST,strength,important,3
frem_lowblock_overload,ST,decisions,important,3
frem_lowblock_overload,ST,technique,important,3
frem_lowblock_overload,ST,pace,important,3
frem_lowblock_overload,ST,teamwork,useful,2
frem_lowblock_overload,ST,agility,useful,2
frem_lowblock_overload,ST,aggression,useful,2
frem_game_state,GK,reflexes,key,4
frem_game_state,GK,handling,key,4
frem_game_state,GK,positioning,key,4
frem_game_state,GK,decisions,key,4
frem_game_state,GK,communication,important,3
frem_game_state,GK,kicking,useful,2
frem_game_state,GK,aerial,useful,2
frem_game_state,CB,positioning,key,4
frem_game_state,CB,aerial,key,4
frem_game_state,CB,tackling,key,4
frem_game_state,CB,decisions,key,4
frem_game_state,CB,strength,important,3
frem_game_state,CB,pace,important,3
frem_game_state,CB,stamina,useful,2
frem_game_state,CB,technique,useful,2
frem_game_state,LB,tackling,key,4
frem_game_state,LB,positioning,key,4
frem_game_state,LB,pace,key,4
frem_game_state,LB,stamina,important,3
frem_game_state,LB,decisions,important,3
frem_game_state,LB,strength,important,3
frem_game_state,LB,aerial,useful,2
frem_game_state,LB,teamwork,useful,2
frem_game_state,RB,tackling,key,4
frem_game_state,RB,positioning,key,4
frem_game_state,RB,pace,key,4
frem_game_state,RB,stamina,important,3
frem_game_state,RB,decisions,important,3
frem_game_state,RB,strength,important,3
frem_game_state,RB,aerial,useful,2
frem_game_state,RB,teamwork,useful,2
frem_game_state,DM,positioning,key,4
frem_game_state,DM,tackling,key,4
frem_game_state,DM,decisions,key,4
frem_game_state,DM,strength,important,3
frem_game_state,DM,aerial,important,3
frem_game_state,DM,teamwork,important,3
frem_game_state,DM,stamina,important,3
frem_game_state,DM,passing,useful,2
frem_game_state,DM,aggression,useful,2
frem_game_state,CM,tackling,key,4
frem_game_state,CM,stamina,key,4
frem_game_state,CM,teamwork,key,4
frem_game_state,CM,positioning,important,3
frem_game_state,CM,decisions,important,3
frem_game_state,CM,passing,important,3
frem_game_state,CM,strength,important,3
frem_game_state,CM,aggression,useful,2
frem_game_state,CM,aerial,useful,2
frem_game_state,AMC,decisions,key,4
frem_game_state,AMC,movement,key,4
frem_game_state,AMC,pace,key,4
frem_game_state,AMC,shooting,important,3
frem_game_state,AMC,technique,important,3
frem_game_state,AMC,stamina,important,3
frem_game_state,AMC,teamwork,important,3
frem_game_state,AMC,dribbling,useful,2
frem_game_state,AMC,strength,useful,2
frem_game_state,AML,pace,key,4
frem_game_state,AML,stamina,key,4
frem_game_state,AML,movement,key,4
frem_game_state,AML,shooting,important,3
frem_game_state,AML,tackling,important,3
frem_game_state,AML,decisions,important,3
frem_game_state,AML,teamwork,important,3
frem_game_state,AML,dribbling,useful,2
frem_game_state,AML,crossing,useful,2
frem_game_state,AMR,pace,key,4
frem_game_state,AMR,stamina,key,4
frem_game_state,AMR,movement,key,4
frem_game_state,AMR,shooting,important,3
frem_game_state,AMR,tackling,important,3
frem_game_state,AMR,decisions,important,3
frem_game_state,AMR,teamwork,important,3
frem_game_state,AMR,dribbling,useful,2
frem_game_state,AMR,crossing,useful,2
frem_game_state,ST,strength,key,4
frem_game_state,ST,aerial,key,4
frem_game_state,ST,movement,key,4
frem_game_state,ST,pace,important,3
frem_game_state,ST,teamwork,important,3
frem_game_state,ST,decisions,important,3
frem_game_state,ST,shooting,important,3
frem_game_state,ST,technique,useful,2
frem_game_state,ST,stamina,useful,2
